naslov,text
"39,2","Tu na vratima gde zivim
mesto imena mi pise sama
na moj talenat za ljubav
kao da je pala neka tama

Laku noc, laku noc samoco idem
a ti nisi pozvana
laku noc, znas da doci cu ti opet 
u to budi sigurna

Tu na vratima gde zivim
mesto imena mi pise kuda
samo telo mi je ovde
srce mi je kao nekad svuda

Laku noc, laku noc samoco idem
a ti nisi pozvana
laku noc, znas da doci cu ti opet
u to budi sigurna

Ref.
39 sa 2
nije ti dobro a izlazis napolje 
toliko topla sam ja
s koliko nula pise se tuga 
znam ja najbolje, znam ja najbolje

Nije ti dobro a izlazis napolje
s koliko nula pise se tuga 

Tu na vratima gde zivim
mesto imena mi pise sama
na moj talenat za ljubav
kao da je pala neka tama

Laku noc, laku noc samoco idem
a ti nisi pozvana
laku noc, znas da doci cu ti opet 
u to budi sigurna

Ref.

Znam ja najbolje
(3x)"
5 minuta,"Hocu da budem luda 
bar 5 minuta
hocu da budem luda
bar 5 minuta
bar 5 minuta

Previse kontrole
previse i telo joj se opire
bromazepam jedan ili dva
na mene kontra deluje

Zeni toj sad je kraj
aj, aj, aj, aj, aj, aj
dugo sam se ja
pod rucnom drzala
sad gledaj me i uzivaj

Ref.
Kada ova zena gori
tad gori sve
kad kazu, joj, uspori
tad lomi sve
ne jednom, ne sto puta
hocu da budem luda
bar 5 minuta, bar 5 minuta

Jos za nocne igre dobra sam
taj osecaj se vratio
predugo sam bila normalna
bas takvu si me pamtio

Ref.

Po vatri ja hodam
i pijem da mi se vrti
i vec od vode mi se muti
a ti, a ti, a ti
oko struka vrti, vrti, ma vrti me

Ref."
Ako te ona odbije,"Ne vidis dalje od nje
sav si se predao
oh kad bi mene neko
tako gledao

Tuzan je tvoj zivot s njom
kasno si shvatio
oh kad bi za mnom neko
toliko patio

Ref.
Ako te ona odbije
tuge neka nas spoje
ako ti srce razbije
dacu ti ovo moje

I kada ona odustane
ja cu jos da se borim
ako ti snove unisti
ja cu da ti ih stvorim

Sedis u mraku sam
za druge izgubljen
oh kad bi i u mene
tako bio zaljubljen

Osecam dolazi kraj
sve si propustio
oh kad bi i za mnom neko 
suzu pustio

Ref."
Andjeo drugog reda,"Nije ljubav hram da joj verujem
stoput me je izdala
da si barem star pa da ucim se
na tvojim greskama

Da sam mala ja pa da kazes mi
ne veruj neznancima
sad je gotovo
ostavi me bar boljim strelcima

Jer kad mi u srce pucaju
neka pucaju ti sto znaju

Ref.
Andjeo si decko drugog reda
iz tebe me samo smrtnik gleda
tebi jos ljubi se, meni se ujeda

Andjeo si decko druge klase
licis mi na ovde bilo kog
nisi ti taj kalibar
da spases me zivota mog

Kad kroz isto prodjes
nemoj da mi dodjes

Kad ti uzmu sve ostane ti tad
olovo u grudima
da si barem star da kazes
uzalud se nadas cudima

Sada kasno je i nebu jasno je
ne lisavaj me sudbine
kada sam vec ja bez tebe zivela
sve ove godine

Ref."
Autogram,"Pamtis li kad sam te
za sebe vezala
nisi tu, al' te jos
nisam odvezala
ko ti je rekao
da nismo zajedno

Mozes da me neces
i da teras me
to u mojoj glavi
ne racuna se

Gospodine moj
nisam samo broj
o ljubavi se tu
radi velikoj

Ref. 2x
I da nisi jesi
jos si sa mnom ti u vezi
i da neces hoces
nije vazno s kim si, gde si
sa hiljadu zena
s jednom ili sasvim sam
na tvom je srcu moj autogram

Sa kojim pravom se
jos nisi javio
tu gde sam dosla
nisi pojavio
ko ti je rekao
da nismo zajedno

Ref. 2x

Ref. 2x"
Babaroga,"Ti jesi mangup citam ti s lica
tebi se svidja svaka suknjica
al' nemas srece sto si me sreo
jer znam sta hoces i sta bi hteo

Ref. 2x
Igrajmo zato, igrajmo
ljubavnu igru zajedno
iako si babaroga
i zavodnik zenskog roda

A ja sam zavodnica
muskih srca lomilica
i tebe cu babarogo
srediti uskoro

Prava si napast, ne das mi mira
svuda me pratis, to me nervira
ja hocu ljubav, hocu da patis
za mnoge grehe jednom da platis

Ref. 2x

Te tvoje finte to je za klinke
ja hocu cara prave ljubavi
ja hocu snove vecno da traju
i da se budim u zagrljaju

Ref. 2x"
Batali ,"Ma neka, hvala znam ja sama
da se vratim kuci
neka odavde ces dalje sam
prijatelju

Ja mozda ne znam
sta bih htela
da li sam hladna ili vrela
ali ja znam ono sto znam

Meni su krv i tuga
dva najbolja druga
ime mi lose zvuci
na tvojim usnama

Ma pusti me
da vodim ljubav
sa svojim zeljama
sa svojim zeljama

Ref:
Hej, sreco, zapali
nisam ja ta to batali
nemam ja lice za smeh
nemam ja telo za greh

Hej, sreco, zapali
nisam ja ta to batali
bio bi mi u isti mah
cena i nadnica za strah
nadnica za strah

Ne skidaj kaput, neka, hvala
ubiti me nece zima
pojesti me nece mrak
prijatelju

Slusaj jer ja 
ne pricam dvaput
toliko koliko sam ja slaba
ti nikad neces biti jak

Meni su krv i tuga
dva najbolja druga
ime mi lose zvuci
na tvojim usnama

Ma pusti me
da vodim ljubav
sa svojim zeljama
sa svojim zeljama

Ref.

I tvoje malo mnogo je
a mnogo malo je
za dan u nocima, za bes u ocima
za moju staru glad jos si nov i mlad

Ref."
Beograd,"Znam za jedan grad
zove se Beograd
znam za jedno ime
al' ga ne spominjem

Znam za jedan grad
gde si vecno mlad
znam i jedno srce
sto ga proklinjem

Ref.
Jednom sam probala
te tvoje usne od cemera
i ko ce ovo
ludilo da otera

Jednom sam probala
iz srca da te izbrisem
al' svako prolece
na tebe mirise

Znam mu boju kosulje
ja je kupila
znam mu ukus usana
ja ih ljubila

Znam i s' kime vino
nocas pije
znam da i on zna
kako mi je

Ref.

Ovo secanje rusi meni sve
moj Beograde, zagrli me"
Bivsi,"Znam da sam bila jedna od mnogih
koje su tebi dale sve
al' samo ja sam imala snage 
da kazem tebi ne

Ref. 2x
Bices mi sutra bivsi
bivsa cu tebi biti
sve ce se bivsim zvati
i ja, i ljubav, i ti

Znam da sam bila jedna od mnogih
sto su zbog tebe cinile sve
al' samo ja sam jedina rekla
rekla ostavljam te

Ref. 2x

Znam da sam bila jedna od mnogih
koje te nisu varale
al' samo ja sam imala snage
da s tobom prekinem sve

Ref. 2x"
Brat,"Puklo vece prilazim ti sama
 haljina providna
providne su moje namere
 ljubila bih te

A ti mi kazes sta ces ti tu
 bratski tapses po ramenu
ja hocu sve
 ti k’o sestru gledas me

Ref.
Imam fore jedan sat
 nisi mi ti brate brat
ne, ne, ne, ne 
kao svemirski si brod
 samo smo po casi rod

Ne, ne, ne, ne 
neke se vatre nikada ne ugase
lose veze, ne, ne, ne 
nikad nisu gotove, hajmo dalje

Puklo vece, pukla obecanja
sto sebi dala sam
opet imam zadnje namere
 ljubila bih te

Ref."
Brat i sestra,"Iste nam je boje krv
boja koze, isti kosmari 
ne smo rekli sudbini
posle svega sta smo ja i ti

Ref.
Brat i sestra svakako
kci i otac nekako
muz i zena nikako

Sve smo mogli biti mi
da je duza bila noc
ne smo rekli sudbini
posle svega sta smo ja i ti

Ref. 3x

Brat i sestra"
Bruka,"O, pa ti to meni namerno
radis, pa ti to meni namerno
zbog nje novu otvaras flasu
mesto meni njoj punis casu

Ref.
Bruka, pijete
a meni je muka
sta ce na njoj tvoja ruka
kako ti ne dosadi

Bruka, pijete
a meni je muka
hajde reci da je volis
ako ti se ne gadi

O, pa ti to meni namerno
radis, pa ti to meni namerno
za nju pice slatko i hladno
meni toplo, jeftino, jadno

Ref.

Ref.

Ref."
"Brze, brze","Na vrat, na nos, na brzinu
drugacije ja ne umem
zivim brzo al' za tobom
polako cu ja da umrem

Uspeh, novac, karijera
sve to jednog dana prodje
ustanes pa opet legnes
uvek ti na isto dodje

Ref. 2x
Hajde brze, brze moj zivote
prolazi mi nemoj da se molis
samo dva puta se stvarno zivi
kad se rodis i kad volis

Danas jesmo, sutra nismo
bice ono ili ovo
isti dani, iste noci
ni mi nismo nista novo

Uspeh, novac, karijera
sve to jednog dana prodje
ustanes pa opet legnes
uvek ti na isto dodje

Ref. 2x

Ref. 2x"
Budi decko moj,"Treba mi osmeh tvoj
treba mi ruka tvoja
budi decko moj
ja devojka tvoja

Da me pratis na igranke
da dolazis na sastanke
da te pratim u armiju
kad jesenje kise liju

Ref. 2x
Da mi pises, da ti pisem
pisma nezna, duga
da se hvalis drugovima
da devojku mori tuga
(budi decko moj)

Ja necu nekog drugog
to nece dusa moja
budi decko moj
ja devojka tvoja

Da mi budes san i java
kad me sunce obasjava
da me gleda oko tvoje
da ja nesto imam svoje

Ref. 2x"
Cigani,"Da sam sad na mostu 
odmah bih se bacila
kad sam mu u ponoc
opet ledja videla

Preko dana spava
veran mi je
nocu budan luta
jednostavno takav je
danju dobar, nocu nije

Ref.
Cigani udrite
sve mu pare nocas uzmite
neka se zaduzi
kad god me rastuzi

Cigani udrite
kozu mu sa ledja skinite
da moli da mu platim dug
k'o da sam mu drug

A ja da mu ne dam
ne dam ni za lek
kad je danju covek
nocu necovek

Da sam sad na mostu 
odmah bih se bacila
kada ga iz srca
nisam jos izbacila

Ref.

Ref."
Cipelice,"Ja malena za zemlju pripela
visokoga momka srela
momka srela 
pa ga zavolela

Ref. 2x
Kupuj majko cipelice
sto imaju podpetice
dragi visok ko jelika
hocu ja da budem velika

Kad me ljubi mora se sagnuti
vrat ga moze zaboleti
pa se plasim 
da se ne naljuti

Ref. 2x

Cipelica s petom bi me spasila
ne bih vise bila mala
mislio bi kako 
sam porasla

Ref.

Kupuj majko cipelice
sto imaju podpetice
(5x)"
Crni sneg (duet Aca Lukas),"Pada crni sneg
pada po nama
napadao svih
sedam metara tuge
za noci preduge

Metar po metar
za svaku godinu
koju sam bez sna
sama provela
dok sam te cekala

Koliko pobede
toliko poraza
koliko predaje
toliko izdaje
da bi me na
kraju ostavila ti

Ref.
Ja znam necu te preboleti
mogu ja zbog
tebe brzo umreti
al' znam nesto
drugo plasi me
mozda cu preziveti

Pada crni sneg
veje danima
nek' me zaveje
manje bolece
nego bez tebe prolece

Crna pahulja
moja postelja
neka pokriva
s tobom propale dane
da trag ne ostane

Ref. 3x"
Crveno,"Nisam ti ja tako dobra s njom
da te ne bih takla ramenom
ako ti se dopadam 
sutra ces od muke puci
sto umesto poljupca 
rekao si vozim te kuci

Ref. 2x
Prodji sa mnom kroz crveno
bice moje sto je njeno
vezi oci i ne koci
prodji sa mnom kroz crveno

Znas sta mislim o takvim kao ti
lepi, verni ali dosadni
ako ti se dopadam 
sutra ces od muke puci
sto umesto poljupca 
rekao si vozim te kuci

Ref. 4x"
